4055139AH,27,About 1000 employees,I think most people expect to deal with a man or expect men to be more proficient with technology and math so often times I feel like I have to prove my worth and skills.,I just want to make it clear that I am planning on leaving my current position/role in the next year but plan to stay in the tech field. 
4055139AI,27,50 to 100,"When I first strated in the techonolgy field, it was hard to find work unless it was a progressive organization. Even with experience other organizations were not as inclined to hire me. I started working in non profits and building expereince in a variety of technology pathways",Hope my feedback was helpful or insightful. Thanks for the opportunity. 
4055139AJ,31,500-1000,Overall my experience has not been anything out of the ordinary.,No additional thoughts
4055139AK,30,53,"very clear at the leadership level there is a lack of women. I've seen more women leave the company than men that were in higher positions. There's a different treatment of women and men. I've directly experienced lack of respect as a women in tech, even from a manager",N/A
4055139AL,28,7,"Tech is still primarily male dominated. Being a woman in tech you do not always get the same respect. Many times I have been mistaken for a secretary.
",no
4055139AM,20,20,"I am lucky to work at a diverse and progressive company. However, in the job search, interviewing, and hiring process I felt that my qualifications and achievements were undermined and I was not taken seriously. ",no!
4055139AN,25,4,I haven't came out yet as trans to my employees.,Nothing I can think of
4055139AO,28,1000+,It has honestly been hard for me. I am not respected as much as I should be. ,No
4055139AP,29,5000,Very positive,no
4055139AQ,20,1000+,I feel like I am pretty competent within my field however as a woman in a male dominant field sometimes I am made to feel inferior or my bosses/coworkers who are male won't give me the same opportunities as men. I do think that the cameraderie I've developed with women in the field has been incredibly rewarding. ,None
4055139AR,25,We have approximately 100 employees,"I do not work in the tech field, but I work in the science field, and I am extremely outnumbered by men. Especially because I'm lower down on the totem pole, I often feel intimidated and undervalued by the men I work with.","no, thank you!"
4055139AS,24,My organization has approximately 50 employees. ,"Overall, my experience has been a bit limited as the number of woman and underrepresented individuals are slim compared to men in the field. Although, my organization does a good job of promoting inclusivity. ",No final thoughts. 
4055139AT,30,"4,500","My experience has been very positive. I've been treated fairly and equally and my company highly values DEI and offers many programs to celebrate women, POC, the LGBTQ community, etc...",I think employers offering work life balance is important and encourages people to stay at a company long term because they feel they are well taken care of.
4055139AU,32,50 ,My experience has be ok. I definitely notice a difference with male cis vs everyone else. They are taken more seriously than their other counterparts and listened to. i feel valued but not taken too seriously compared. ,Great survey and made me think more about my work environment 
4055139AV,40,~500,"My experience has been neutral. I have experienced positive feedback as well as negative feedback. I have had a direct report of mine sought out for an answer while I was right there. Now, my direct report did not know the answer and relied on me to provide instruction. ",N/A
4055139AW,20,"My organization has about 1,000 employees in their Chicago office. ","My experience as a woman in my field has been extremely intimidating. In the beginning, I found it daunting to speak up in a room where it was mostly cis-gendered white men. A lot of the time they only assumed I got to where I was because of specific internships or opportunities for women or for being a person of color. I've had to make a name for myself even after going through an extensive interview process. ",No 
4055139AX,31,"over 100,000","It has been a challenging transition from working in a female dominated field such as healthcare to male dominated like tech.  People question your abilities, talk over you, and generally do not take you seriously. So it has been challenging",I do not have final thoughts thank you
4055139AY,28,3,I feel very confident being a business manager in this field. I have not been discriminated against. I have only been accepted. ,No i do not 
4055139AZ,29,21,"I am a woman in tech. I transitioned to a nonprofit technology company which builds software primarily for food banks to conduct community outreach and enroll eligible clients in the SNAP program. I transitioned into this company from an academic research center and it was a big culture change. My tech company is much younger both as a company and as employees at that company. There is less structure, more a culture of doing things quickly without a lot of planning whereas my old workplace was very slow and thoughtful. My company has a lot of women primarily, and only women in leadership which I think is unique among tech organizations, but I feel very comfortable as a young woman working where I do.",No final thoughts
4055139B,40,750,It has been very positive. I really like my job and my colleagues. I've had very positive experiences in my role at the company.,I enjoyed participating in this survey. 
4055139BA,22,1000,"I generally do face not exactly discrimination, but there are people that like to discount or dismiss my skills and abilities even though I am perfectly qualified to do what I do.","no, thank you!"
4055139C,46,My organization has over 1000 employees.,My experience in the technology field is that I have to prove that I know what I'm talking about to be taken seriously.,no
4055139D,23,6,"It has been pleasant, can't complain honestly. I am taken seriously in my role and have not had any issues it this company.",no thank you
4055139E,22,100-500,"It was a quite good experience, I had no racist situations so far and I feel equal to the other gender.","no, thanks."
4055139F,37,4,I have had several jobs in the tech field and it has been challenging but rewarding as I've been able to quickly find many employment opportunities. I have been able to create from scratch online brands underneath leadership both male and female. Overall I would say a positive experience. ,No final thoughts. Thank you. 
4055139H,32,6,"Pretty average, I have dealt with some people that doubt my ability. ",Since I'm a freelancer some were hard to answer. But did my best. 
4055139I,35,1000+,It's been a bit of a struggle. My last company only had one woman in leadership. The rest of leadership was made up of only white men. I think it's sometimes hard to be taken seriously because I'm a woman. I've also had to change my mannerisms at work to be more accepted by men. ,"You misspelled usertesting.com in the ""How did you hear about the Chi Tech Survey"" question."
4055139J,23,15,"The stigma around the men dominated field makes it harder to express my passion about technology and medical science. Just because i'm female, it doesn't mean I'm not as smart and well versed in the field of technology. I believe that we have equal chances and knowledge about technology. ","I think in order for technology to advance, stigma must be reduced and be opened to everyone."
4055139K,25,15-20 employees,It has been acceptable due to my company primarily consisting of women. We all are trained and educated on how to use our current technology. ,N/a
4055139L,26,20-25 staff members,"Yes, its overall been a good experience. I haven't really been in any work environments that I've felt discriminated in based on my gender. I've felt like I've a great opportunities to learn and present my work with helpful feedback and encouragement.",No final thoughts.
4055139M,25,"9,000",It hasn't been too bad. There are times where I feel that I need to justify my designs more so because I'm a junior designer and not because I am a woman. ,Nope. Great survey
4055139N,35,"10,000+","Generally, fairly positive. I don't feel like I have had managers or superiors that have treated me differently because I am female, nor do I outright feel like I have fewer opportunities to advance because I am female, but every manager I have had has been male and straight and I have only met one visiting manager that was female. Many of my coworkers at my level are female - and there are also several gay men, so it's odd that leaders have been mainly male - men married to women.",I didn't see anything here about maternity/parental leave benefits. This is something that makes me less likely to leave my current employer - I wish great benefits in this dept were more common - it would make me more likely to change employers to advance my career.
4055139O,26,250,"I work for a small startup company in financial technology. Overall, my experience has been pretty positive. My employer does a good job of trying to hire a diverse group of people. My team has many women and POC on it and I have worked with female managers as well. However, in the C-Level and VP-suite, there are no to little women in leadership. ",no
4055139P,23,50,"This is my first job out of college and my firm is pretty small and on a hybrid work schedule so I have interacted with my coworkers to a pretty minimal extent and I wouldn't say my gender has impacted my work environment yet, but I am acutely aware of the potential for it to.",no
4055139Q,22,200-500,"it has been a positive experience, sometimes there is a preference towards having men do certain tasks, but overall I noticed that it's fairly accepting and respectful to women",no
4055139R,29,Over 10000,It has been interesting.  I feel like I needed to earn respect and show that I knew what I was doing. ,Women do need to work harder than men to prove they belong in a superior position.
4055139S,18,25,"When I'm working on tech by myself, I feel like I'm creating valuable stuff, but when placed in a public work/educational space it becomes difficult at times to feel accepted and worthy in a way. ","No, all good."
4055139T,23,100-250,My experience has overall been very great. I have never come across any issues pertaining to gender.,None
4055139U,24,My organization has approximately 1 million employees. ,"As a woman in the technology industry, my experience has been overall good at this particular company. I would say that a majority of the higher up people at my company are male, which definitely sets a certain standard. However, personally I don't feel intimidated by that. I don't discount that others may feel this way, though. I can't speak to experiences of those who are trans or nonbinary. ","I think the survey was really comprehensive. working in tech in the Chicago area has been a great experience, I am fortunate to be working for a great company, though I do think the diversity fo the team could be improved, which is a trend at many companies. "
4055139W,37,500,"isolating, challenging",I hope to work in a technology related position someday.
4055139X,25,1000,"My company strives to be inclusive of all people, and I think they have done a good job",No thank you.
4055139Y,20,My organization has approx. 50-100 people.,My experience as a woman has been overall positive. I have been treated overall the same as other employees.,Not particularly.
4145563B,29,"1000s, possibly as many as 100,000. hospital with multiple locations","IT department at hospital not very good, however I don't think I've been discriminated because of my gender with anything related to IT. Always gotten help from the helpdesk when I needed it. ","i'm confused, i thought i was accepted to take this test"
4145563C,31,"40,000",It has been amazing. It has helped me connect with others similar to myself and has made me feel less alone.,N/A
4145563D,34,1000,My experience has been that as a woman I need to place boundaries for myself and also I need to advocate for myself fiercely. When I have worked with groups that were primarily men it felt very obvious that I was different and received different treatment than my male counterparts whether that be negative treatment or positive treatment. In groups that primarily women I don't feel that gender is an issue at all.  ,Having Childcare in the office would be a major perk for employees. 
4145563E,48,4,its has ben difficult because I am one of two woman in my organization.,I am in the field of R&amp;D highly a male field . I am seen as a less capable individual because of my gender. With more difficulty getting to make decisions. where as in my previous field -Healthcare- the majority of my coworkers were female and there was more support for people trying to advance their careers.
4145563F,31,1000,It has been interesting to work in a male-dominated field. ,N/A
4145563G,39,75,"I have had to work harder for promotions than men do, but overall am treated pretty equal as a woman.",I really liked this survey and it was super simple.
4145563H,26,"I think my organization has over 42,000 employees that span across corporate and retail locations.","Overall, my experience has been pretty average. The company I work for is pretty progressive and mostly comprises of women, which I know to not be normal. There are still occasions however, during my days that I encounter someone who has a bias towards women in tech. However, I continue to treat them with respect, conduct my business, and show them my knowledge.",I know I am in a unique situation being a women in tech. I work for a great company that is 92% female and is progressive. They are advocates for women's rights. I know not every woman is fortunate enough to have this in their work environment. I am grateful that I do.
4145563I,52,75,"Mostly in tech, men are in charge.  They do not know how to communicate in a understanding manner of what is a concern for you.  Their trainings are dry and boring.","No, but thank you for considering women and our disadvantages in the tec world."
4145563J,24,8,I feel as if I am not being treated differently for being a woman.,No
4145563K,27,500,"My overall experience in accounting technology has been fairly positive. As will all new systems that you learn, there is a bit of a learning curve, however, most accounting software has the same functions, the functions just look different on each different platform.",It makes me wonder more about the diversity in my companies leadership. I am also curious as what the work situation is for my out-of-country team members who are often in-office. 
