SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,SQ8,SQ9,SQ10,SQ11,SQ12,SQ13,SQ14,SQ15,SQ16,SQ17,SQ18,SQ19,SQ20,SQ21,SQ22,SQ23,SQ24,SQ25,SQ26,SQ27,SQ28,SQ29,SQ30,SQ31,SQ32,SQ33,SQ34,SQ35,SQ36,SQ37,SQ38,SQ39,SQ40,SQ41,SQ42,SQ43,SQ44,SQ45,SQ46,SQ47,SQ48,SQ49,SQ50,SQ51,SQ52,SQ53,SQ54,SQ55,SQ56,SQ57,SQ58,SQ59,SQ60,SQ61,SQ62,SQ63,SQ64,SQ65,SQ66,SQ67,SQ68
UserTesting,2022-05-02 18:22:21 UTC,Genderqueer/ Nonbinary,Hispanic or Latino,60030 (Grayslake),,60030,,Work full-time,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), High school or below",No,Computer Hardware Engineer,,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Inclusion at your workplace",Entry-level - 1-3 years,Agree,Every 3 years,Yes,Yes,Agree,Neutral / Neither agree nor disagree,Agree,Agree,Agree,Agree,A promotion,No,41-50,Neutral / Neither agree nor disagree,"That I have insurance at all, Comprehensive plan options spanning vision, dental, and overall healthcare, Having 100% of my plan covered by my employer each month",We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,Yes,Useretesting.com,five,6270215d88b3e7526a0b2db1,,,,,,desktop
UserTesting,2022-05-11 00:51:15 UTC,Genderqueer/ Nonbinary,White or Caucasian,60640 (Chicago),,60640,,Work full-time,I am a caretaker of adults.,4-year University or College degree (Bachelor’s degree or equivalent),No,IT Project Manager,,,I plan to exit this role in 12 months or less,,,,,,,Compensation,Intermediate level - 5-10 years,Neutral / Neither agree nor disagree,I have not been promoted.,No,No,Agree,Neutral / Neither agree nor disagree,Agree,Agree,Agree,Neutral / Neither agree nor disagree,Switching from one company to another,Yes,41-50,Agree,"Having 100% of my plan covered by my employer each month, Low Copays and prescription costs, Comprehensive plan options spanning vision, dental, and overall healthcare",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,Useretesting.com,five,627b0883f8f01c259f70796d,,,,,,desktop
UserTesting,2022-05-12 21:26:57 UTC,Genderqueer/ Nonbinary,White or Caucasian,60625 (Chicago),,60625,,Work freelance/Independent contractor/Consultant,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), High school or below",No,Product Designer,,,I plan to exit this role in 12 months or less,,,,,,,"Compensation, Representation of people in my gender, Advancement in your role",Intermediate level - 5-10 years,Agree,Every 2 years,Yes,Yes,Neutral / Neither agree nor disagree,Neutral / Neither agree nor disagree,Agree,Agree,Disagree,Neutral / Neither agree nor disagree,A promotion,No,21-30,Neutral / Neither agree nor disagree,"That I have insurance at all, Low Copays and prescription costs, Diverse options for PPO plans",We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,Yes,Useretesting.com,five,627d7ba12ee04b01da448311,,,,,,desktop
UserTesting,2022-05-18 14:11:48 UTC,Genderqueer/ Nonbinary,White or Caucasian,60516 (Downers Grove),,60516,,Work full-time,None of the above,"2-year college degree (Associate degree), High school or below, Self-taught, Taught on the job",No,Data Analyst,,,I plan to exit technology in 12 months or less,"Advancement in your role, Compensation, Representation of people in my gender, Inclusion at your workplace, Management support",Nothing will stop me from transitioning out of my current role. I would like to stay in technology but in a different field from what I am currently working.,No,,,,,Entry-level - 1-3 years,Disagree,Every year,No,Yes,Strongly Disagree,Strongly Disagree,Disagree,Neutral / Neither agree nor disagree,Strongly Disagree,Neutral / Neither agree nor disagree,A raise,No,41-50,Disagree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Low deductibles, Spousal coverage",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,Yes,Useretesting.com,five,6284fea466d46a5764218aa1,,,,,,desktop
UserTesting,2022-05-21 19:06:16 UTC,Genderqueer/ Nonbinary,White or Caucasian,60051 (Mchenry),,60051,,Work full-time,Care for my sister very often,"2-year college degree (Associate degree), High school or below, Taught on the job, Self-taught",No,Other,Yes,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Inclusion at your workplace, Compensation, Representation of people with my disabilities",Entry-level - 1-3 years,Disagree,I have not been promoted.,Yes,No,Agree,Neutral / Neither agree nor disagree,Agree,Agree,Neutral / Neither agree nor disagree,Strongly Agree,Switching from one company to another,No,41-50,Strongly Disagree,"Low Copays and prescription costs, That I have insurance at all, Diverse options for PPO plans",We all work in-person,,,,,,,,,,,,,,,,,,,No,Useretesting.com,five,6289382883390163033f3010,,,,,,desktop
UserTesting,2022-05-31 14:48:27 UTC,Genderqueer/ Nonbinary,Asian or Pacific Islander,60634 (Chicago),,60634,,Work full-time,I am a caretaker of adults.,"4-year University or College degree (Bachelor’s degree or equivalent), High school or below, Taught on the job, Self-taught",No,Other,Yes,,"A year from now, I plan to stay in this role",,,,,,,"Compensation, 100% Telecommute",Mid-career - 11-20 years,Neutral / Neither agree nor disagree,Every 4 years or more,No,No,Disagree,Strongly Disagree,Neutral / Neither agree nor disagree,Agree,Agree,Neutral / Neither agree nor disagree,A raise,Yes,31-40,Neutral / Neither agree nor disagree,"Low deductibles, Low Copays and prescription costs, Having 100% of my plan covered by my employer each month",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,Useretesting.com,five,62962abb61b235249f297f3b,,,,,,desktop
UserTesting,2022-07-02 02:57:32 UTC,Genderqueer/ Nonbinary,White or Caucasian,46406 (Gary),,46406,,Work full-time,I am a parent or caretaker of children.,4-year University or College degree (Bachelor’s degree or equivalent),No,Computer scientist,,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Inclusion at your workplace, Compensation",Intermediate level - 5-10 years,Agree,I have not been promoted.,Yes,No,Agree,Neutral / Neither agree nor disagree,Agree,Strongly Agree,Agree,Strongly Agree,A raise,No,41-50,Strongly Agree,"Having 100% of my plan covered by my employer each month, Spousal coverage, Coverage for emergencies",We all work in-person,,,,,,,,,,,,,,,,,,,Yes,Useretesting.com,five,62bfb41cf47a41507e105277,,,,,,desktop
UserTesting,2022-07-09 16:13:58 UTC,Genderqueer/ Nonbinary,White or Caucasian,60099 (Zion),,60099,,Work full-time,I am a parent or caretaker of children.,2-year college degree (Associate degree),No,Visual Designer,,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Inclusion at your workplace, Compensation",Intermediate level - 5-10 years,Agree,Every year,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,A bonus,No,31-40,Strongly Agree,"Having 100% of my plan covered by my employer each month, Low deductibles, Dependent coverage",We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,No,Useretesting.com,five,62c9a94669e80c519344198f,,,,,,desktop
UserTesting,2022-07-12 13:27:43 UTC,Genderqueer/ Nonbinary,White or Caucasian,60506 (Aurora),,60506,,Work full-time,None of the above,4-year University or College degree (Bachelor’s degree or equivalent),No,Other,No,Yes,,,,,This was a natural progression (i.e. promotion),,,Advancement in your role,Intermediate level - 5-10 years,Neutral / Neither agree nor disagree,Every 2 years,Yes,Yes,Agree,Agree,Neutral / Neither agree nor disagree,Agree,Neutral / Neither agree nor disagree,Agree,A promotion,No,41-50,Neutral / Neither agree nor disagree,Having 100% of my plan covered by my employer each month,We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,Useretesting.com,five,62cd76cf876d2c2fd73f6bf5,,,,,,desktop
UserTesting,2022-08-20 11:51:57 UTC,Genderqueer/ Nonbinary,Black or African American,60605 (Chicago),,60605,,Work full-time,None of the above,"Advanced post-graduate degree (e.g., Ph.D., law degree, medical degree), 4-year University or College degree (Bachelor’s degree or equivalent), Post-graduate degree (Master’s degree or equivalent), Self-taught",No,Other,Yes,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Inclusion at your workplace, Compensation, Representation of people in my race, Representation of people in my gender, Representation of people in my sexual orientation",Entry-level - 1-3 years,Agree,I have not been promoted.,No,No,Neutral / Neither agree nor disagree,Disagree,Agree,Neutral / Neither agree nor disagree,Agree,Neutral / Neither agree nor disagree,N/A,No,21-30,Agree,"Having 100% of my plan covered by my employer each month, Coverage for people living with disabilities, That I have insurance at all",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,No,Useretesting.com,five,6300caddfa22fc66f402ec35,,,,,,desktop
Facebook Digital Ads,2022-07-22 13:18:54 UTC,"Genderqueer/ Nonbinary, Man",Hispanic or Latino,60007 (Elk Grove Village),,60007,,Work full-time,None of the above,4-year University or College degree (Bachelor’s degree or equivalent),No,Chief Technical Officer (CTO),,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Inclusion at your workplace, Management support, Representation of people in my gender",Intermediate level - 5-10 years,Strongly Agree,Every 3 years,No,No,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,A raise,No,41-50,Strongly Agree,"Having 100% of my plan covered by my employer each month, Coverage for emergencies",We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,Yes,Facebook or Instagram,five,62daa3be7e5c0453b072bf20,,,,,,mobile
Out In Tech Chicago,2022-08-03 13:53:07 UTC,"Genderqueer/ Nonbinary, Transgender",White or Caucasian,60625 (Chicago),,60625,,Work full-time,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), Post-graduate degree (Master’s degree or equivalent)",No,Other,Yes,,"A year from now, I plan to stay in this role",,,,,,,"Inclusion at your workplace, Compensation",Entry-level - 1-3 years,Neutral / Neither agree nor disagree,I have not been promoted.,Yes,Yes,Neutral / Neither agree nor disagree,Agree,Neutral / Neither agree nor disagree,Strongly Agree,Agree,Neutral / Neither agree nor disagree,A raise,No,21-30,Agree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Low Copays and prescription costs, Spousal coverage",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,Out in Tech Slack,five,62ea7dc3ac6498193f08a466,,,,,,desktop
GET Cities Chicago,2022-05-13 14:26:13 UTC,"Genderqueer/ Nonbinary, Transgender",White or Caucasian,60647 (Chicago),,60647,,Work full-time,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), Post-graduate degree (Master’s degree or equivalent), Taught on the job, Self-taught",No,Other,Yes,,I plan to exit this role in 12 months or less,,,,,,,"Compensation, Representation of people in my gender, Advancement in your role",Entry-level - 1-3 years,Strongly Disagree,Every 4 years or more,No,No,Disagree,Strongly Disagree,Neutral / Neither agree nor disagree,Strongly Agree,Disagree,Disagree,Contractually obligated raise that doesn't even keep up with inflation :(,I don't know.,21-30,Strongly Agree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Low Copays and prescription costs, Low deductibles",We all work remotely.,No,,,,,,,,,,,,,,,,,,No,GET Cities,five,627e6a851c23b17c7e48d3b4,,,,,,mobile
LinkedIn Digital Ads,2022-07-29 15:36:30 UTC,"Genderqueer/ Nonbinary, Woman",White or Caucasian,60193 (Schaumburg),,60193,,Work full-time,I am a parent or caretaker of children.,"4-year University or College degree (Bachelor’s degree or equivalent), High school or below, Taught on the job, Self-taught, Academy or Bootcamp",No,Other,No,Yes,,,,,This was a natural progression (i.e. promotion),,,"Advancement in your role, Inclusion at your workplace, Compensation, Equitable opportunities for parents, Representation of people in my gender, Management support",Entry-level - 1-3 years,Neutral / Neither agree nor disagree,Every year,Yes,Yes,Agree,Neutral / Neither agree nor disagree,Neutral / Neither agree nor disagree,Strongly Agree,Disagree,Neutral / Neither agree nor disagree,A promotion,I don't know.,41-50,Agree,"Having 100% of my plan covered by my employer each month, Comprehensive plan options spanning vision, dental, and overall healthcare, Low deductibles",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,Yes,LinkedIn,five,62e3fe7ee00e065fba05e916,,,,,,mobile
UserTesting,2022-04-28 22:22:59 UTC,"Genderqueer/ Nonbinary, Woman",Multiracial or Biracial,60657 (Chicago),,60657,,Work full-time,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), High school or below, Post-graduate degree (Master’s degree or equivalent), Taught on the job",No,User Experience Designer,,,I plan to exit this role in 12 months or less,,,,,,,"Compensation, Advancement in your role, Being able to support my family and my community",Intermediate level - 5-10 years,Agree,Every year,No,Yes,Disagree,Strongly Disagree,Neutral / Neither agree nor disagree,Neutral / Neither agree nor disagree,Strongly Agree,Neutral / Neither agree nor disagree,A promotion,No,21-30,Agree,"Comprehensive plan options spanning vision, dental, and overall healthcare",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,No,Useretesting.com,five,626b13c3e678d721d8408f8b,,,,,,desktop
UserTesting,2022-04-29 00:23:52 UTC,"Genderqueer/ Nonbinary, Woman",White or Caucasian,53192 (Kenosha),,53192,,Work full-time,I am a caretaker of adults.,"4-year University or College degree (Bachelor’s degree or equivalent), Vocational training / Certificate program",No,Web Developer,,,"A year from now, I plan to stay in this role",,,,,,,"Inclusion at your workplace, Management support, Compensation, Representation of people in my gender",Intermediate level - 5-10 years,Agree,Every 2 years,Yes,Yes,Agree,Neutral / Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Agree,A promotion,No,21-30,Strongly Agree,"That I have insurance at all, Low deductibles, Low Copays and prescription costs",We have a hybrid work environment e.g. a mix between in-person and remote.,No,,,,,,,,,,,,,,,,,,No,Useretesting.com,five,626b3018c9ee863443397cf3,,,,,,desktop
UserTesting,2022-07-15 02:02:26 UTC,"Genderqueer/ Nonbinary, Woman",White or Caucasian,60660 (Chicago),,60660,,Work full-time,None of the above,"4-year University or College degree (Bachelor’s degree or equivalent), High school or below, Post-graduate degree (Master’s degree or equivalent), Vocational training / Certificate program, Taught on the job, Self-taught",No,Other,Yes,,I plan to exit technology in 12 months or less,"Management support, profit motive conflicts with best practices in my field","Grievance process to change things about your work environment, Policies that provide certain benefits / or transparency about policies, The option to work remotely, Less restrictive shareholder control over actual work and corporation in order to achieve technical best practices.",No,,,,,Mid-career - 11-20 years,Strongly Disagree,Every 2 years,No,No,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,A bonus,No,41-50,Strongly Disagree,"Comprehensive plan options spanning vision, dental, and overall healthcare, Spousal coverage, Maternity and paternity leave (3+ months)",We all work remotely.,Yes,,,,,,,,,,,,,,,,,,No,Useretesting.com,five,62d0cab275f8393c533e2718,,,,,,desktop
Out In Tech Chicago,2022-07-21 21:08:09 UTC,"Man, Transgender",White or Caucasian,60625 (Chicago),,60625,,Work full-time,None of the above,4-year University or College degree (Bachelor’s degree or equivalent),No,Other,Yes,,"A year from now, I plan to stay in this role",,,,,,,"Advancement in your role, Compensation",Intermediate level - 5-10 years,Agree,Every 2 years,Yes,Yes,Disagree,Disagree,Disagree,Agree,Neutral / Neither agree nor disagree,Disagree,A raise,I don't know.,51-60,Agree,"Having 100% of my plan covered by my employer each month, Comprehensive plan options spanning vision, dental, and overall healthcare, Low deductibles",We have a hybrid work environment e.g. a mix between in-person and remote.,Yes,,,,,,,,,,,,,,,,,,Yes,Out in Tech,five,62d9c0397eb5c65b7929d846,,,,,,desktop
